Name,Age,Hometown,Occupation,Status,Season
Marcus Grodd,25,"Medicine Hat, Alberta",Sports Medicine Manager,Eliminated in week 8,110.1101
Brian Osborne,27,"Camp Hill, Pennsylvania",Basketball Coach,Eliminated in week 7,110
Dylan Petitt,26,"Longmeadow, Massachusetts",Accountant,Eliminated in week 7,110.1101
J.J. O'Brien,30,"Hanover, Massachusetts",Pantsapreneur,Eliminated in week 6,110
Cody Sattler,28,"Oakley, Kansas",Personal Trainer,Eliminated in week 6,110.1101
Andrew Poole,30,"Portola Valley, California",Social Media Marketer,Eliminated in week 5,110
Marquel Martin,26,"Rialto, California",Sponsorship Salesman,Eliminated in week 5,110.1101
Patrick Jagodzinski,29,"Clinton, New Jersey",Advertising Executive,Eliminated in week 5,110
Tasos Hernandez,30,"Denver, Colorado",Wedding Event Coordinator,Eliminated in week 4,110.1101
Eric Hill,31,"Citrus Heights, California",Explorer,Eliminated in week 4,110
Bradley Wisk,32,"Grosse Pointe, Michigan",Opera Singer,Eliminated in week 3,110
Brett Melnick,29,"Warminster, Pennsylvania",Hairstylist,Eliminated in week 3,110
Ron Worrell,28,"Nahariya, Israel",Beverage Sales Manager,Quit in week 3,110
Carl King,30,"Hollywood, California",Firefighter,Eliminated in week 2,110
Craig Muhlbauer,29,"Defiance, Iowa",Tax Accountant,Eliminated in week 2,110
Nick Sutter,27,"Chicago, Illinois",Professional Golfer,Eliminated in week 2,110
Emil Schaffroth,33,"Portland, Oregon",Helicopter Pilot,Eliminated in week 1,110
Jason Leep,35,"Sturgeon Bay, Wisconsin",Urgent Care Physician,Eliminated in week 1,110
Josh Bauer,29,"Evergreen, Colorado",Telecommunication Marketer,Eliminated in week 1,110
Mike Campanelli,29,"Guilderland, New York",Bartender,Eliminated in week 1,110
Rudie Dane,31,"Yorba Linda, California",Attorney,Eliminated in week 1,110
Steven Woolworth,30,"Meadow Vista, California",Snowboard Product Developer,Eliminated in week 1,110
Chris Siegfried,27,"McMinnville, Oregon",Mortgage Broker,Winner,109
Drew Kenney,27,"Scottsdale, Arizona",Digital Marketing Analyst,Runner-up,109
Brooks Forester,28,"Salt Lake City, Utah",Sales & Marketing,Withdrew in week 9,109.1101
Zak Waddell,31,"Dallas, Texas",Drilling Fluid Engineer,Eliminated in week 8,109
Michael Garofola,33,"Lindenhurst, New York",Federal Prosecutor,Eliminated in week 7,109.1102
James Case,27,"Marietta, Georgia",Advertising Executive,Eliminated in week 6,109
Juan Pablo Galavis,31,"Barquisimeto, Venezuela",Former Pro Soccer Player,Eliminated in week 6,109.0018
Kasey Stewart,29,"Tulsa, Oklahoma",Advertising Executive,Eliminated in week 6,109
Mikey Tenerelli,30,"Glen Ellyn, Illinois",Plumbing Contractor,Eliminated in week 5,109.1102
Ben Scott,28,"Lubbock, Texas",Entrepreneur,Eliminated in week 5,109.1101
Bryden Vukasin,26,"Havre, Montana",Iraq War Veteran,Quit in week 5,109
Zack Kalter,28,"Phillips Ranch, California",Book Publisher,Eliminated in week 4,109.1101
Brad McKinzie,27,"Denver, Colorado",Accountant/DJ,Eliminated in week 4,109
Brandon Andreen,26,"Blaine, Minnesota",Painting Contractor,Eliminated in week 3,109
Dan Cox,30,"Dublin, California",Beverage Sales Director,Eliminated in week 3,109.1102
Brian Jarosinski,29,"Olney, Maryland",Financial Advisor,Removed in week 3,109
Nick Mucci,27,"Rochester, New York",Investment Adviser,Eliminated in week 2,109
Robert Graham,30,"Glendale, Arizona",Advertising Entrepreneur,Eliminated in week 2,109.1101
Will Reese,28,"Federal Way, Washington",Banker,Eliminated in week 2,109
Diogo Custodio,29,"Penha, Brazil",Ski Resort Manager,Eliminated in week 1,109
Larry Burchett,34,"Overland Park, Kansas",ER Doctor,Eliminated in week 1,109
Micah Heisler,32,"Detroit Lakes, Minnesota",Law Student,Eliminated in week 1,109
Mike Ryatuk,28,"London, England",Dental Student,Eliminated in week 1,109
Nick Roy,26,"Ridgefield, Connecticut",Tailor/Magician,Eliminated in week 1,109
Jonathan Vollinger,26,"Hickory, North Carolina",Lawyer,Eliminated in week 1,109
Jef Holm,27,"St. George, Utah",Entrepreneur,Winner,108
"Arie Luyendyk, Jr.",30,"Scottsdale, Arizona",Race Car Driver,Runner-up,108
Sean Lowe,28,"Dallas, Texas",Insurance Agent,Eliminated in week 9,108.0017
Chris Bukowski,25,"Chicago, Illinois",Corporate Sales Director,Eliminated in week 8,0108.1003.1101.1102
John Wolfner,30,"St. Louis, Missouri",Data Destruction Specialist,Eliminated in week 7,108
Doug Clerget,33,"Tacoma, Washington",Single Dad/Real Estate Agent,Eliminated in week 7,108
Ryan Bowers,31,"Evans, Georgia",Pro Sports Trainer,Eliminated in week 6,108
Travis Pope,30,"Madison, Mississippi",Advertising Sales Representative,Eliminated in week 6,108
Alejandro Velez,25,"San Francisco, California",Mushroom Farmer,Eliminated in week 5,108
Kalon McMahon,27,"Houston, Texas",Luxury Brand Consultant,Eliminated in week 5,0108.1003.1101
Charlie Grogan,32,"Worcester, Massachusetts",Recruiter,Eliminated in week 4,108
Michael Nance,26,"Austin, Texas",Rehab Counselor,Eliminated in week 4,108
Nathan Baake,25,"Los Angeles, California",Accountant,Eliminated in week 4,108
Stevie Alberino,26,"Monroe Township, New Jersey",Party M.C.,Eliminated in week 3,108
Alessandro Goulart,30,"Saint Paul, Minnesota",Grain Merchant,Eliminated in week 3,108
Tony Pieper,31,"Beaverton, Oregon",Single Dad/Lumber Trader,Eliminated in week 3,108.1003
Aaron Martell,36,"North Sydney, Nova Scotia",Biology Teacher,Eliminated in week 2,108
Kyle Dillon,29,"Long Beach, California",Financial Adviser,Eliminated in week 2,108
Joe Gendreau,27,"Orlando, Florida",Field Energy Adviser,Eliminated in week 2,108
Brent Richter,41,"Midland, Texas",Technology Salesman,Eliminated in week 1,108
David Homyk,33,"Charlottesville, Virginia",Singer/Songwriter,Eliminated in week 1,108
Jackson Longnecker,29,"Lockport, Illinois",Fitness Model,Eliminated in week 1,108
Jean-Paul LaCount,35,"Moraga, California",Marine Biologist,Eliminated in week 1,108
Lerone Anu,29,"Laguna Beach, California",Real Estate Consultant,Eliminated in week 1,108
Randy Lee Woyak,30,"Oak Creek, Wisconsin",Marketing Manager,Eliminated in week 1,108
J.P. Rosenbaum,34,"Roslyn, New York",Construction Manager,Winner,107
Ben Flajnik,28,"Sonoma, California",Wine Maker,Runner-up,107.0016
Constantine Tzortzis,30,"Cumming, Georgia",Restaurant Owner,Withdrew in week 9,107
Ames Brown,31,"Chadds Ford, Pennsylvania",Portfolio Manager,Eliminated in week 8,107.1002
Lucas Daniels,30,"Odessa, Texas",Oilfield Equipment Distributor,Eliminated in week 7,107
Ryan Park,31,"Fresno, California",Solar Energy Executive,Eliminated in week 7,107
Blake Julian,27,"Steamboat Springs, Colorado",Dentist,Eliminated in week 6,107.1002
"Ryan ""Mickey"" McLean",31,"Rochester, New York",Chef,Withdrew in week 6,107
Nick Peterson,26,"Odessa, Florida",Personal Trainer,Eliminated in week 5,0107.1003.1102
William Holman,30,"Fostoria, Ohio",Cellular Phone Salesman,Eliminated in week 5,107.1002
Ben Castoriano,28,"Lake Charles, Louisiana",Lawyer,Eliminated in week 5,107
West Lee,30,"Walhalla, South Carolina",Lawyer,Eliminated in week 4,107
Jeff Medolla,35,"St. Louis, Missouri",Entrepreneur,Eliminated in week 3,107
Chris Drish,25,"Moline, Illinois",Sports Marketing Coordinator,Eliminated in week 3,107
Bentley Williams,28,"Salt Lake City, Utah",Businessman,Quit in week 3,107
Matt Colombo,28,"Bridgewater, Massachusetts",Office Supply Salesman,Eliminated in week 2,107
Ryan Miller,27,"Novi, Michigan",Constructor Estimator,Eliminated in week 2,107
Stephen D'Amico,27,"Portland, Connecticut",Hairstylist,Eliminated in week 2,107
Anthony Santucci,28,"Saddle River, New Jersey",Butcher,Eliminated in week 1,107
Chris Malhomme,27,"Gibbons, Alberta",Construction Company CEO,Eliminated in week 1,107
Frank Carpenter,29,"Anchorage, Alaska",College Admissions Director,Eliminated in week 1,107
Jon Ellsworth,26,"Vancouver, Washington",E-Commerce Executive,Eliminated in week 1,107
Michael Burns,29,"Providence, Rhode Island",Technology Salesman,Eliminated in week 1,107
Rob Dahm,27,"Monroe, Michigan",Technology Executive,Eliminated in week 1,107
Tim McCormack,35,"Massapequa, New York",Liquor Distributor,Eliminated in week 1,107
Roberto Martinez,26,"Tampa, Florida",Insurance Agent,Winner,106
Chris Lambton,33,"Dennis, Massachusetts",Landscaper,Runner-up,106
Frank Neuschaefer,31,"Bartlett, Illinois",Retail Manager,Removed in week 9,106
Kirk DeWindt,27,"Green Bay, Wisconsin",Sales Consultant,Eliminated in week 8,0106.1002.1102
Ty Brown,31,"Booneville, Mississippi",Medical Sales,Eliminated in week 7,106
Craig Robinson,27,"Langhorne, PA",Lawyer,Eliminated in week 6,106
Justin Rego,26,"Toronto, ON",Entertainment Wrestler,Removed in week 6,106.1002
Chris Nordhorn,29,"Winter Park, FL",Entrepreneur,Eliminated in week 5,106
Kasey Kahl,27,"Fresno, CA",Advertising Account Executive,Eliminated in week 5,106.1002
Jesse Beck,24,"Peculiar, MO",General Contractor,Eliminated in week 4,106.1001
Jonathan Novack,30,"Boston, MA",Weatherman,Eliminated in week 4,106.1001
John Crivello,32,"Mukilteo, WA",Hotel Business Development,Eliminated in week 3,106
Steve Kocsis,28,"Chesterland, OH",Sales Representative,Eliminated in week 3,106
Hunter Wagner,28,"Fair Oaks Ranch, TX",Internet Account Executive,Eliminated in week 3,106
Chris Hasek-Watt,27,"Campbell River, BC",Real Estate Developer,Eliminated in week 2,106
Craig McKinnon,34,"Sarnia, ON",Dental Sales,Eliminated in week 2,106.1001
Tyler Vermette,25,"Chelsea, VT",Online Advertising,Eliminated in week 2,106
Derek,28,"Warren, MI",Sales Manager,Eliminated in week 1,106
Derrick Schuster,27,"Manhattan Beach, CA",Construction Engineer,Eliminated in week 1,106
Jason Whitehead,27,"Johnson City, TN",Construction Consultant,Eliminated in week 1,106
Jay Resmini,29,"Barrington, RI",Lawyer,Eliminated in week 1,106
John N.,27,"Wichita, KS",Engineering Software Sales,Eliminated in week 1,106
Kyle Higgins,26,"Highlands Ranch, CO",Outdoorsman,Eliminated in week 1,106
Phil Kayden,30,"Elmore, OH",Investment Manager,Eliminated in week 1,106
Tyler Morrow,25,"Helena, MT",Catering Manager,Eliminated in week 1,106
Ed Swiderski,29,"Monroe, Michigan",Technology Consultant,Winner Returned in week 7 Left in week 5,105.1003
Kiptyn Locke,31,"Encinitas, California",Business Developer,Runner-up,105.1001
Reid Rosenthal,30,"Upper Dublin, Pennsylvania",Realtor,Eliminated in week 9,105.1003
Wes Hayden,32,"Huntsville, Texas",Musician,Eliminated in week 8,105.1001
Jesse Kovacs,27,"Carmel Valley, California",Wine Maker,Eliminated in week 7,0105.1001.1101
Michael Stagliano,25,"Tacoma, Washington",Break Dance Instructor,Eliminated in week 7,0105.1002.1003
Jake Pavelka,31,"Dallas, Texas",Commercial Pilot,Eliminated in week 6,0105.0014.1002
Tanner Pope,30,"Brownfield, Texas",Financial Analyst,Eliminated in week 6,105
Robby Descant,25,"Spring, Texas",Bartender,Eliminated in week 6,105
Mark Huebner,26,"Woodstock, Illinois",Pizza Entrepreneur,Eliminated in week 5,105
David Good,27,"West Alexandria, Ohio",Trucking Contractor,Eliminated in week 4,105.1001
Juan Barbieri,35,"Buenos Aires, Argentina",General Contractor,Eliminated in week 4,105.1001
Mike Steinberg,28,"New York, New York",Baseball Camp Owner,Eliminated in week 4,105
Brad Seberhagen,27,"Park Ridge, Illinois",Financial Advisor,Eliminated in week 3,105
Tanner Fanello,28,"Derby, Kansas",Sales Representative,Eliminated in week 3,105
Sasha Petrovic,27,"Houston, Texas",Oil & Gas Consultant,Eliminated in week 3,105
Brian Duke,32,"Birmingham, Alabama",IT Consultant,Eliminated in week 2,105
Julien Hug,34,"San Diego, California",Restaurateur,Eliminated in week 2,105
Mathue Johnson,25,"Andover, Kansas",Personal Trainer,Eliminated in week 2,105
Simon Ambrose,26,"Bradford, England",Soccer Coach,Eliminated in week 2,105
Adam Duvendeck,27,"Santa Barbara, California",Olympic Cyclist,Eliminated in week 1,105
Bryan Vaderman,28,"Lawton, Oklahoma",High School Coach,Eliminated in week 1,105
Bryce Harlow,31,"Fort Lauderdale, Florida",Furniture Dealer,Eliminated in week 1,105
Caleb Kuhl,27,"Kansas City, Missouri",Photographer,Eliminated in week 1,105
Greg Bilbro,31,"Albuquerque, New Mexico",Entrepreneur,Eliminated in week 1,105
John Hardesty,27,"Boise, Idaho",Branding Consultant,Eliminated in week 1,105
John Presser,29,"Fort Wayne, Indiana",Marketing Specialist,Eliminated in week 1,105
Josh Yocam,25,"Tustin, California",Lifeguard,Eliminated in week 1,105
Kyle Yauch,26,"Austin, Texas",Graphic Designer,Eliminated in week 1,105
Stephen Reich,30,"Lexington, Massachusetts",Lawyer,Eliminated in week 1,105
Jesse Csincsak,26,"Breckenridge, CO",Professional snowboarder,Winner,104
Jason Mesnick,31,"Cleveland, OH",Account executive,Week 8,104.0013
Jeremy Anderson,30,"Dallas, TX",Real estate attorney,Week 7,104
Graham Bunn,29,"Raleigh, NC",Professional basketball player,Week 6,0104.1002.1101
Sean Ramey,33,"Louisville, KY",Martial artist,Week 5,104
Blaine Twilley,33,"Tulsa, OK",Debt manager,Week 5,104
Brian Westendorf,31,"Fort Worth, TX",High school football coach,Week 4,104
Fred Greif,30,"Skokie, IL",Lawyer,Week 4,104
Robert Fair,28,"San Francisco, CA",Chef,Week 4,104
Paul Brosseau,23,"Bonnyville, AB",Sales manager,Week 3,104
Richard Mathy,27,"Sauquoit, NY",Science teacher,Week 3,104
Ronald Mayer,36,"Greeley, CO",Barber shop owner,Week 3,104
Christopher Bradshaw,29,"Fort Worth, TX",Medical sales rep.,Week 2,104
Eric Papachristos,32,"Boston, Massachusetts",Senior analyst,Week 2,104
Ryan Hoag,28,"Minneapolis, MN",Professional football player,Week 2,104.1003
Brian Winchester,29,"New Castle, IN",Computer network consultant,Week 1,104
Chandler Fulton,25,"Virginia Beach, VA",Insurance rep.,Week 1,104
Donato Capodanno,26,"Lexington, SC",Sales rep.,Week 1,104
Greg Matthew,28,"Rockport, MA",Personal trainer,Week 1,104
Jeffrey Harris,27,"Miami, FL",Mathematics teacher,Week 1,104
Jon Konkel,35,"Williston, ND",Resort manager,Week 1,104
Luke Hamilton,27,"Faith, NC",Oyster farmer,Week 1,104
Patrick Carlson,26,"Glenwood, IL",Financial analyst,Week 1,104
Patrick Durrere,27,"Elmhurst, IL",Internet marketing,Week 1,104
Spero Stamboulis,38,"Ellington, CT",Actor,Week 1,104
Brad Womack,38,"Austin, TX",Bar owner,Bachelor,11.0015
Andrew Baldwin,32,"Lancaster, PA",US Naval Officer,Bachelor,10
Gwen Gioia,39,"Philadelphia, PA",Project Manager,unknown,2.1001
Krisily Kennedy,30,"Losa Angeles, CA",Personal Assistant,unknown,7.1001
Lauren Iaconetti,24,"Wayne, NJ",mistress,not applicable,1102
